# Postgresql parallel pl/sql performance tests version 1
# kernel info: 3.19.3-1.el7.elrepo.x86_64
# pg info:  PostgreSQL 9.3.9 
# cpu info: Thread(s) per core:   2.  Core(s) per socket:   8.  Socket(s):            2.  
# PPPPT test length (seconds): 60
testcase,threads,tps
"Test 0","1",29607.302958
"Test 0","2",58287.390582
"Test 0","4",110629.184108
"Test 0","8",208642.663572
"Test 0","16",341272.013568
"Test 1","1",30285.797671
"Test 1","2",57953.160473
"Test 1","4",110160.675121
"Test 1","8",211282.732554
"Test 1","16",343762.936503
"Test 2","1",26586.109537
"Test 2","2",51414.500577
"Test 2","4",95750.990721
"Test 2","8",181619.306458
"Test 2","16",305884.437442
"Test 3","1",4596.078885
"Test 3","2",8925.968527
"Test 3","4",16269.524729
"Test 3","8",28335.600196
"Test 3","16",6392.571183
"Test 4","1",320.306764
"Test 4","2",479.801434
"Test 4","4",440.493666
"Test 4","8",119.667626
"Test 4","16",59.855172
"Test 5","1",3.265381
"Test 5","2",5.041416
"Test 5","4",3.318520
"Test 5","8",1.420014
"Test 5","16",0.657028
"Test 6","1",2868.078745
"Test 6","2",5667.517571
"Test 6","4",11237.452918
"Test 6","8",23613.210104
"Test 6","16",50086.824820
"Test 7","1",24324.096285
"Test 7","2",47137.876012
"Test 7","4",87243.079749
"Test 7","8",170473.519365
"Test 7","16",284652.273531
"Test 8","1",29.896798
"Test 8","2",61.157252
"Test 8","4",118.090749
"Test 8","8",212.686537
"Test 8","16",407.086029
"Test 9","1",24993.061326
"Test 9","2",48586.948631
"Test 9","4",90917.092530
"Test 9","8",173397.074878
"Test 9","16",293443.292971
"Test 10","1",30.119410
"Test 10","2",61.527512
"Test 10","4",117.466564
"Test 10","8",213.652713
"Test 10","16",416.261622
